ITB_No,Vendor Name,PO No,Currency,PO Value in Original Currency,PO Value in Original CAD,Total Claimed in PO in current ITB,Original_currency_current_ITB,Exchange_Rate_current_ITB,Total Claimed in PO until current ITB,Remaining in PO after current ITB
ITB_SAN_04,VENDOR_000001,PO_000001,CAD,"1,009.39","1,000.88",0.00,,,987.38,13.51
ITB_SAN_04,VENDOR_000002,PO_000002,CAD,58.36,60.64,0.00,,,61.19,0.00
ITB_SAN_04,VENDOR_000003,PO_000003,CAD,"402,240.44","432,562.81",0.00,,,"33,953.49","398,609.32"
ITB_SAN_04,VENDOR_000003,PO_000004,CAD,"471,983.09","487,146.43",0.00,,,"385,691.62","101,454.81"
ITB_SAN_04,VENDOR_000003,PO_000005,CAD,"2,052,178.35","2,037,900.18","259,361.08",,,"400,597.62","1,637,302.56"
ITB_SAN_04,VENDOR_000004,PO_000006,CAD,"108,770.52","109,393.63","6,740.09",,,0.00,"109,393.63"
ITB_SAN_04,VENDOR_000004,PO_000007,CAD,"123,625.56","128,592.04",0.00,,,"29,443.98","99,148.07"
ITB_SAN_04,VENDOR_000004,PO_000008,CAD,"168,850.56","169,281.16","15,879.53",,,0.00,"169,281.16"
ITB_SAN_04,VENDOR_000004,PO_000009,CAD,"136,442.28","128,935.10","12,532.35",,,0.00,"128,935.10"
ITB_SAN_04,VENDOR_000004,PO_000010,CAD,"59,546.52","54,941.06","5,281.72",,,0.00,"54,941.06"
ITB_SAN_04,VENDOR_000004,PO_000011,CAD,"138,888.25","140,064.82",0.00,,,0.00,"140,064.82"
ITB_SAN_04,VENDOR_000004,PO_000012,CAD,"123,620.61","128,005.85",0.00,,,0.00,"128,005.85"
ITB_SAN_04,VENDOR_000004,PO_000013,CAD,"103,167.77","103,329.93",0.00,,,0.00,"103,329.93"
ITB_SAN_04,VENDOR_000004,PO_000014,CAD,"95,293.64","93,870.14",0.00,,,0.00,"93,870.14"
ITB_SAN_04,VENDOR_000005,PO_000015,CAD,648.59,685.77,0.00,,,0.00,685.77
ITB_SAN_04,VENDOR_000005,PO_000016,CAD,783.10,782.10,0.00,,,0.00,782.10
ITB_SAN_04,VENDOR_000006,PO_000017,CAD,"5,171.31","5,096.93",0.00,,,0.00,"5,096.93"
ITB_SAN_04,VENDOR_000007,PO_000018,Euro,"1,772,613.46","2,748,274.70",0.00,,,"59,548.69","2,688,726.02"
ITB_SAN_04,VENDOR_000007,PO_000019,Euro,"7,922,793.12","11,983,284.79",0.00,,,"905,282.51","11,078,002.28"
ITB_SAN_04,VENDOR_000002,PO_000020,CAD,368.33,367.14,0.00,,,353.90,13.25
ITB_SAN_04,VENDOR_000002,PO_000021,CAD,168.46,172.18,0.00,,,168.82,3.35
ITB_SAN_04,VENDOR_000002,PO_000022,CAD,373.33,387.95,0.00,,,375.99,11.96
ITB_SAN_04,VENDOR_000002,PO_000023,CAD,574.27,615.23,0.00,,,0.00,615.23
ITB_SAN_04,VENDOR_000002,PO_000024,CAD,"1,158.38","1,140.31",0.00,,,"1,129.46",10.86
ITB_SAN_04,VENDOR_000002,PO_000025,CAD,87.56,87.74,0.00,,,92.68,0.00
ITB_SAN_04,VENDOR_000002,PO_000026,CAD,861.57,848.64,0.00,,,0.00,848.64
ITB_SAN_04,VENDOR_000002,PO_000027,CAD,802.24,778.81,0.00,,,775.51,3.30
ITB_SAN_04,VENDOR_000002,PO_000028,CAD,28.12,30.51,0.00,,,29.56,0.95
ITB_SAN_04,VENDOR_000002,PO_000029,CAD,385.79,401.05,0.00,,,383.66,17.39
ITB_SAN_04,VENDOR_000002,PO_000030,CAD,56.66,57.61,0.00,,,59.91,0.00
ITB_SAN_04,VENDOR_000002,PO_000031,CAD,707.89,752.99,713.68,,,0.00,752.99
ITB_SAN_04,VENDOR_000002,PO_000032,CAD,60.67,61.49,0.00,,,58.80,2.69
ITB_SAN_04,VENDOR_000002,PO_000033,CAD,275.21,271.55,269.41,,,0.00,271.55
ITB_SAN_04,VENDOR_000002,PO_000034,CAD,11.41,10.48,10.62,,,0.00,10.48
ITB_SAN_04,VENDOR_000002,PO_000035,CAD,235.19,223.99,232.39,,,0.00,223.99
ITB_SAN_04,VENDOR_000002,PO_000036,CAD,44.19,46.17,47.85,,,0.00,46.17
ITB_SAN_04,VENDOR_000002,PO_000037,CAD,47.85,47.27,49.44,,,0.00,47.27
ITB_SAN_04,VENDOR_000002,PO_000038,CAD,39.92,40.03,40.94,,,0.00,40.03
ITB_SAN_04,VENDOR_000002,PO_000039,CAD,17.39,17.36,17.79,,,0.00,17.36
ITB_SAN_04,VENDOR_000002,PO_000040,CAD,659.05,637.43,634.24,,,0.00,637.43
ITB_SAN_04,VENDOR_000002,PO_000041,CAD,405.71,423.52,438.08,,,0.00,423.52
ITB_SAN_04,VENDOR_000002,PO_000042,CAD,53.06,56.25,52.54,,,0.00,56.25
ITB_SAN_04,VENDOR_000002,PO_000043,CAD,"1,584.74","1,678.62",0.00,,,0.00,"1,678.62"
ITB_SAN_04,VENDOR_000002,PO_000044,CAD,858.63,822.06,0.00,,,0.00,822.06
ITB_SAN_04,VENDOR_000002,PO_000045,CAD,96.47,89.05,0.00,,,0.00,89.05
ITB_SAN_04,VENDOR_000002,PO_000046,CAD,103.72,107.09,0.00,,,0.00,107.09
ITB_SAN_04,VENDOR_000002,PO_000047,CAD,33.14,31.20,0.00,,,0.00,31.20
ITB_SAN_04,VENDOR_000002,PO_000048,CAD,9.95,9.53,0.00,,,0.00,9.53
ITB_SAN_04,VENDOR_000002,PO_000049,CAD,"1,185.39","1,142.64",0.00,,,0.00,"1,142.64"
ITB_SAN_04,VENDOR_000002,PO_000050,CAD,105.73,107.54,0.00,,,0.00,107.54
ITB_SAN_04,VENDOR_000002,PO_000051,CAD,28.56,26.21,0.00,,,0.00,26.21
ITB_SAN_04,VENDOR_000002,PO_000052,CAD,10.84,10.36,0.00,,,0.00,10.36
ITB_SAN_04,VENDOR_000002,PO_000053,CAD,244.92,234.79,0.00,,,0.00,234.79
ITB_SAN_04,VENDOR_000002,PO_000054,CAD,27.68,28.12,0.00,,,0.00,28.12
ITB_SAN_04,VENDOR_000002,PO_000055,CAD,31.19,30.92,0.00,,,0.00,30.92
ITB_SAN_04,VENDOR_000002,PO_000056,CAD,226.97,224.67,0.00,,,0.00,224.67
ITB_SAN_04,VENDOR_000002,PO_000057,CAD,26.26,24.94,0.00,,,0.00,24.94
ITB_SAN_04,VENDOR_000008,PO_000058,USD,139.95,205.27,0.00,,,0.00,205.27
ITB_SAN_04,VENDOR_000009,PO_000059,CAD,"192,567.90","191,941.00",0.00,,,"28,539.14","163,401.86"
ITB_SAN_04,VENDOR_000010,PO_000060,CAD,823.02,858.22,0.00,,,0.00,858.22
ITB_SAN_04,VENDOR_000010,PO_000061,CAD,"4,198.47","4,088.60",0.00,,,"4,109.77",0.00
ITB_SAN_04,VENDOR_000010,PO_000062,CAD,"1,279.72","1,394.28",0.00,,,0.00,"1,394.28"
ITB_SAN_04,VENDOR_000010,PO_000063,CAD,949.79,876.51,0.00,,,946.26,0.00
ITB_SAN_04,VENDOR_000010,PO_000064,CAD,"12,635.65","13,041.17","12,569.28",,,0.00,"13,041.17"
ITB_SAN_04,VENDOR_000010,PO_000065,CAD,606.79,600.22,0.00,,,0.00,600.22
ITB_SAN_04,VENDOR_000011,PO_000066,CAD,"2,561.24","2,441.44",0.00,,,"2,586.44",0.00
ITB_SAN_04,VENDOR_000011,PO_000067,CAD,"2,380.37","2,330.69",0.00,,,0.00,"2,330.69"
ITB_SAN_04,VENDOR_000011,PO_000068,CAD,"2,556.70","2,547.31",0.00,,,"2,591.85",0.00
ITB_SAN_04,VENDOR_000011,PO_000069,CAD,"733,076.22","761,061.47",0.00,,,0.00,"761,061.47"
ITB_SAN_04,VENDOR_000011,PO_000070,CAD,120.86,130.58,0.00,,,0.00,130.58
ITB_SAN_04,VENDOR_000012,PO_000071,CAD,"727,594.20","697,310.19","211,690.59",,,"70,792.28","626,517.92"
ITB_SAN_04,VENDOR_000013,PO_000072,CAD,"95,956.71","98,535.34","9,683.13",,,0.00,"98,535.34"
ITB_SAN_04,VENDOR_000013,PO_000073,CAD,"148,985.63","153,321.62",0.00,,,0.00,"153,321.62"
ITB_SAN_04,VENDOR_000014,PO_000074,CAD,"1,152,328.31","1,115,457.96",0.00,,,"273,770.51","841,687.45"
ITB_SAN_04,VENDOR_000015,PO_000075,CAD,"22,681.85","21,096.78","1,171.92",,,"1,104.31","19,992.46"
ITB_SAN_04,VENDOR_000016,PO_000076,CAD,"14,011.04","12,956.20","2,969.01",,,0.00,"12,956.20"
ITB_SAN_04,VENDOR_000017,PO_000077,CAD,"100,757.23","97,731.25",0.00,,,0.00,"97,731.25"
ITB_SAN_04,VENDOR_000017,PO_000078,CAD,"187,914.40","181,890.48",0.00,,,0.00,"181,890.48"
ITB_SAN_04,VENDOR_000018,PO_000079,CAD,"91,900.70","89,639.10",0.00,,,"84,026.50","5,612.60"
ITB_SAN_04,VENDOR_000019,PO_000080,CAD,"7,355.83","7,669.54",0.00,,,"1,228.44","6,441.10"
ITB_SAN_04,VENDOR_000019,PO_000081,CAD,783.31,790.16,0.00,,,0.00,790.16
ITB_SAN_04,VENDOR_000019,PO_000082,CAD,699.43,648.90,0.00,,,679.45,0.00
ITB_SAN_04,VENDOR_000019,PO_000083,CAD,"1,146.24","1,114.82",0.00,,,"1,176.10",0.00
ITB_SAN_04,VENDOR_000019,PO_000084,CAD,832.08,836.01,0.00,,,855.35,0.00
ITB_SAN_04,VENDOR_000019,PO_000085,CAD,"1,194.98","1,191.17",0.00,,,"1,233.01",0.00
ITB_SAN_04,VENDOR_000019,PO_000086,CAD,"1,332.53","1,294.22",0.00,,,0.00,"1,294.22"
ITB_SAN_04,VENDOR_000019,PO_000087,CAD,427.83,427.07,0.00,,,422.62,4.46
ITB_SAN_04,VENDOR_000019,PO_000088,CAD,443.55,463.37,423.15,,,0.00,463.37
ITB_SAN_04,VENDOR_000019,PO_000089,CAD,372.42,371.44,0.00,,,364.41,7.03
ITB_SAN_04,VENDOR_000019,PO_000090,CAD,172.41,175.48,0.00,,,168.79,6.70
ITB_SAN_04,VENDOR_000019,PO_000091,CAD,"1,192.28","1,149.63",0.00,,,0.00,"1,149.63"
ITB_SAN_04,VENDOR_000019,PO_000092,CAD,"1,254.66","1,278.25",0.00,,,0.00,"1,278.25"
ITB_SAN_04,VENDOR_000019,PO_000093,CAD,869.38,803.53,0.00,,,0.00,803.53
ITB_SAN_04,VENDOR_000019,PO_000094,CAD,95.07,94.81,0.00,,,0.00,94.81
ITB_SAN_04,VENDOR_000019,PO_000095,CAD,"2,988.20","3,107.75",0.00,,,0.00,"3,107.75"
ITB_SAN_04,VENDOR_000019,PO_000096,CAD,100.21,108.06,0.00,,,0.00,108.06
ITB_SAN_04,VENDOR_000019,PO_000097,CAD,"1,255.70","1,222.97",0.00,,,0.00,"1,222.97"
ITB_SAN_04,VENDOR_000019,PO_000098,CAD,608.16,588.74,0.00,,,0.00,588.74
ITB_SAN_04,VENDOR_000019,PO_000099,CAD,943.55,993.89,0.00,,,0.00,993.89
ITB_SAN_04,VENDOR_000019,PO_000100,CAD,765.22,802.55,0.00,,,0.00,802.55
ITB_SAN_04,VENDOR_000019,PO_000101,CAD,"11,874.81","11,409.71",0.00,,,0.00,"11,409.71"
ITB_SAN_04,VENDOR_000019,PO_000102,CAD,22.57,22.56,0.00,,,0.00,22.56
ITB_SAN_04,VENDOR_000020,PO_000103,CAD,962.99,987.35,0.00,,,0.00,987.35
ITB_SAN_04,VENDOR_000020,PO_000104,CAD,62.85,63.19,60.80,,,0.00,63.19
ITB_SAN_04,VENDOR_000021,PO_000105,CAD,673.56,661.88,0.00,,,0.00,661.88
ITB_SAN_04,VENDOR_000022,PO_000106,CAD,302.21,293.65,0.00,,,0.00,293.65
ITB_SAN_04,VENDOR_000022,PO_000107,CAD,97.14,101.13,0.00,,,0.00,101.13
ITB_SAN_04,VENDOR_000022,PO_000108,CAD,100.23,98.00,0.00,,,0.00,98.00
ITB_SAN_04,VENDOR_000022,PO_000109,CAD,85.67,86.96,0.00,,,0.00,86.96
ITB_SAN_04,VENDOR_000022,PO_000110,CAD,124.70,121.69,0.00,,,0.00,121.69
ITB_SAN_04,VENDOR_000022,PO_000111,CAD,153.29,159.20,0.00,,,0.00,159.20
ITB_SAN_04,VENDOR_000022,PO_000112,CAD,469.83,500.87,0.00,,,0.00,500.87
ITB_SAN_04,VENDOR_000022,PO_000113,CAD,565.56,549.12,0.00,,,0.00,549.12
ITB_SAN_04,VENDOR_000022,PO_000114,CAD,355.89,353.63,0.00,,,0.00,353.63
ITB_SAN_04,VENDOR_000022,PO_000115,CAD,368.68,360.09,0.00,,,0.00,360.09
ITB_SAN_04,VENDOR_000023,PO_000116,Euro,"27,309.32","44,697.19",0.00,,,"44,671.32",25.87
ITB_SAN_04,VENDOR_000024,PO_000117,CAD,"112,549.76","108,971.10",0.00,,,"76,820.61","32,150.48"
ITB_SAN_04,VENDOR_000024,PO_000118,CAD,"54,389.83","54,508.27",0.00,,,0.00,"54,508.27"
ITB_SAN_04,VENDOR_000025,PO_000119,CAD,"43,530.20","43,325.76",0.00,,,0.00,"43,325.76"
ITB_SAN_04,VENDOR_000026,PO_000120,CAD,"5,133.46","5,053.26",0.00,,,"4,895.00",158.25
ITB_SAN_04,VENDOR_000027,PO_000121,USD,"2,396.30","3,338.10",0.00,,,"3,325.05",13.05
ITB_SAN_04,VENDOR_000027,PO_000122,USD,500.87,650.50,0.00,,,991.36,0.00
ITB_SAN_04,VENDOR_000027,PO_000123,USD,183.29,263.17,0.00,,,248.21,14.96
ITB_SAN_04,VENDOR_000027,PO_000124,USD,30.08,43.20,0.00,,,43.48,0.00
ITB_SAN_04,VENDOR_000027,PO_000125,USD,51.10,74.87,0.00,,,69.14,5.73
ITB_SAN_04,VENDOR_000027,PO_000126,USD,"2,709.17","3,849.53",0.00,,,0.00,"3,849.53"
ITB_SAN_04,VENDOR_000027,PO_000127,USD,247.14,344.08,0.00,,,0.00,344.08
ITB_SAN_04,VENDOR_000027,PO_000128,USD,31.73,44.02,0.00,,,0.00,44.02
ITB_SAN_04,VENDOR_000028,PO_000129,CAD,"6,505.50","6,731.72",0.00,,,"6,523.92",207.80
ITB_SAN_04,VENDOR_000029,PO_000130,CAD,"353,648.28","364,891.34","43,637.24",,,"162,595.26","202,296.08"
ITB_SAN_04,VENDOR_000029,PO_000131,CAD,"99,738.19","95,358.07","16,333.37",,,"38,433.63","56,924.44"
ITB_SAN_04,VENDOR_000029,PO_000132,CAD,"171,766.47","173,327.52","92,604.06",,,"76,082.34","97,245.18"
ITB_SAN_04,VENDOR_000029,PO_000133,CAD,"673,251.73","690,369.73",0.00,,,0.00,"690,369.73"
ITB_SAN_04,VENDOR_000030,PO_000134,CAD,"1,289,642.80","1,294,866.49",0.00,,,"438,605.37","856,261.12"
ITB_SAN_04,VENDOR_000031,PO_000135,CAD,"39,570.66","38,251.19","9,462.62",,,"11,831.51","26,419.68"
ITB_SAN_04,VENDOR_000032,PO_000136,CAD,"85,687.65","90,941.97","9,838.17",,,"41,656.21","49,285.76"
ITB_SAN_04,VENDOR_000001,PO_000137,CAD,"488,493.62","485,256.61",0.00,,,0.00,"485,256.61"
ITB_SAN_04,VENDOR_000001,PO_000138,CAD,945.19,921.33,0.00,,,0.00,921.33
ITB_SAN_04,VENDOR_000001,PO_000139,CAD,"1,332,875.80","1,263,384.63","119,931.54",,,"140,996.24","1,122,388.39"
ITB_SAN_04,VENDOR_000033,PO_000140,CAD,0.99,1.02,0.00,,,0.00,1.02
ITB_SAN_04,VENDOR_000033,PO_000141,CAD,"1,783.26","1,728.87",0.00,,,90.00,"1,638.88"
ITB_SAN_04,VENDOR_000033,PO_000142,CAD,88.56,86.54,89.12,,,0.00,86.54
ITB_SAN_04,VENDOR_000034,PO_000143,CAD,"2,102,729.20","2,072,863.47","148,308.47",,,"132,593.58","1,940,269.89"
ITB_SAN_04,VENDOR_000035,PO_000144,CAD,"325,217.96","318,870.19",882.68,,,0.00,"318,870.19"
ITB_SAN_04,VENDOR_000035,PO_000145,CAD,"253,682.61","235,557.53",249.24,,,0.00,"235,557.53"
ITB_SAN_04,VENDOR_000035,PO_000146,CAD,"140,341.93","136,573.94",203.87,,,0.00,"136,573.94"
ITB_SAN_04,VENDOR_000035,PO_000147,CAD,"130,742.03","128,998.90",186.33,,,0.00,"128,998.90"
ITB_SAN_04,VENDOR_000035,PO_000148,CAD,"55,827.31","52,593.14",0.00,,,666.86,"51,926.28"
ITB_SAN_04,VENDOR_000035,PO_000149,CAD,"54,060.65","56,210.19",0.00,,,379.11,"55,831.08"
ITB_SAN_04,VENDOR_000036,PO_000150,CAD,"4,025.49","3,918.92","1,163.24",,,0.00,"3,918.92"
ITB_SAN_04,VENDOR_000037,PO_000151,CAD,345.94,355.89,0.00,,,355.93,0.00
ITB_SAN_04,VENDOR_000038,PO_000152,CAD,"617,397.73","677,851.05",0.00,,,"75,545.29","602,305.75"
ITB_SAN_04,VENDOR_000038,PO_000153,CAD,"2,390.35","2,390.48",0.00,,,"2,353.02",37.46
ITB_SAN_04,VENDOR_000039,PO_000154,CAD,"227,221.28","235,901.45","32,463.76",,,"44,393.84","191,507.61"
ITB_SAN_04,VENDOR_000039,PO_000155,CAD,518.40,564.52,51.36,,,0.00,564.52
ITB_SAN_04,VENDOR_000039,PO_000156,CAD,"241,263.59","245,310.09",0.00,,,0.00,"245,310.09"
ITB_SAN_04,VENDOR_000040,PO_000157,CAD,"1,580,225.83","1,537,896.61","133,494.78",,,"25,647.00","1,512,249.61"
ITB_SAN_04,VENDOR_000041,PO_000158,CAD,629.62,593.62,0.00,,,0.00,593.62
ITB_SAN_04,VENDOR_000042,PO_000159,CAD,"170,908.89","167,916.05",0.00,,,"3,596.68","164,319.38"
ITB_SAN_04,VENDOR_000043,PO_000160,CAD,"7,924.40","7,810.51",0.00,,,"1,281.20","6,529.32"
ITB_SAN_04,VENDOR_000043,PO_000161,CAD,"6,282.08","6,706.66",0.00,,,"6,326.75",379.91
ITB_SAN_04,VENDOR_000043,PO_000162,CAD,"10,006.81","9,606.71",427.87,,,"2,016.10","7,590.61"
ITB_SAN_04,VENDOR_000044,PO_000163,USD,83.93,119.93,0.00,,,0.00,119.93
ITB_SAN_04,VENDOR_000044,PO_000164,USD,"305,891.77","427,350.03",82.22,,,"78,768.39","348,581.65"
ITB_SAN_04,VENDOR_000045,PO_000165,CAD,"1,791.68","1,670.52",0.00,,,"1,691.98",0.00
ITB_SAN_04,VENDOR_000045,PO_000166,CAD,"4,600.89","4,279.80",0.00,,,"4,299.40",0.00
ITB_SAN_04,VENDOR_000045,PO_000167,CAD,334.58,356.38,0.00,,,340.39,15.98
ITB_SAN_04,VENDOR_000045,PO_000168,CAD,"2,219.10","2,228.89","2,330.39",,,0.00,"2,228.89"
ITB_SAN_04,VENDOR_000045,PO_000169,CAD,280.01,267.76,280.71,,,0.00,267.76
