ITB_No,Ln_ITM_ID,Bundle_ID,CBS_1,CBS_2,CBS_3,CBS_4,CBS_5, Budget_at_Completion ,Overhead,Profit ,Budget_plus_Fee,Submitted_ActualCosts_LTD_without_fees,Submitted_ActualCosts_LTD_Overhead,Submitted_ActualCosts_LTD_Fee,Submitted_ActualCosts_LTD_with_fees,Certified_ActualCosts_LTD_without_fees,Certified_ActualCosts_LTD_Overhead,Certified_ActualCosts_LTD_Fee,Certified_ActualCosts_LTD_with_fees,Variance_LTD,Variance_Current_Submission,Total Variance,Variance_at_Completion,Estimate_at_Completion,Estimate_to_Complete,Cost_Type,Submitted_ Actual_Cost,Submitted_ Accrual_Cost,Submitted_Cost_Total (Actual),Submitted_1_FC,Submitted_2_FC,Submitted_3_FC,Submitted_FC_Total,Certified_Actual_Cost,Certified_Accrual_Cost,Certified_Cost_Total,Certified_1_FC,Certified_2_FC,Certified_3_FC,Certified_FC_Total,LTD_Certified_ with_Current_AFP
ITB_SAN_04,LN_000001,BUNDLE_000002,CBS_000018,CBS_000047,CBS_000042,CBS_000048,CBS_000049,"$213,570.27","$31,522.28","$29,144.20","$277,136.45",,,,$0.00,,,,$0.00,,,$0.00,,"$281,777.09","$260,100.84",Labour,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
ITB_SAN_04,LN_000002,BUNDLE_000002,CBS_000018,CBS_000047,CBS_000020,CBS_000050,CBS_000051,"$797,705.23","$122,359.85","$101,520.97","$1,008,977.51",,,,$0.00,,,,$0.00,,,$0.00,,"$979,406.52","$1,032,830.65",Labour,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
ITB_SAN_04,LN_000003,BUNDLE_000002,CBS_000018,CBS_000047,CBS_000020,CBS_000052,CBS_000035,"$1,782,005.92","$266,167.20","$221,006.23","$2,352,244.26",,,,$0.00,,,,$0.00,,,$0.00,,"$2,280,006.10","$2,264,283.88",Direct,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
ITB_SAN_04,LN_000004,BUNDLE_000002,CBS_000018,CBS_000053,CBS_000020,CBS_000054,CBS_000051,"$732,399.13","$104,823.93","$89,812.54","$869,867.65",,,,$0.00,,,,$0.00,,,$0.00,,"$952,077.08","$875,469.87",Labour,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
ITB_SAN_04,LN_000005,BUNDLE_000002,CBS_000018,CBS_000019,CBS_000055,CBS_000027,CBS_000035,$0.00,$0.00,$0.00,$0.00,,,,$0.00,,,,$0.00,,,$0.00,,$0.00,$0.00,Direct,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
ITB_SAN_04,LN_000006,BUNDLE_000002,CBS_000018,CBS_000019,CBS_000055,CBS_000027,CBS_000005,$0.00,$0.00,$0.00,$0.00,,,,"$146,058.26",,,,"$39,831.02",,,$0.00,,$0.00,"($37,977.21)",Direct,$0.00,"$110,647.38","$114,839.04","$90,396.11",$0.00,"$175,802.41","$271,298.33",$0.00,"$109,000.94","$112,175.47","$41,267.75",$0.00,$0.00,"$41,426.38","$204,472.48"
ITB_SAN_04,LN_000007,BUNDLE_000002,CBS_000018,CBS_000019,CBS_000055,CBS_000027,CBS_000049,"$1,341,535.26","$207,143.37","$183,427.74","$1,878,437.59",,,,"$860,213.76",,,,"$639,750.95",,,$0.00,,"$1,853,664.73","$1,127,081.99",Labour,$0.00,$0.00,$0.00,"$129,082.34","$127,637.09","$122,113.17","$391,253.50",$0.00,$0.00,$0.00,"$132,008.09","$126,867.33","$128,654.40","$371,594.59","$1,065,257.37"
ITB_SAN_04,LN_000008,BUNDLE_000002,CBS_000018,CBS_000019,CBS_000055,CBS_000046,CBS_000049,"$105,953.59","$16,727.56","$13,932.60","$137,154.44",,,,$0.00,,,,$0.00,,,$0.00,,"$138,779.11","$137,126.32",Labour,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
ITB_SAN_04,LN_000009,BUNDLE_000002,CBS_000018,CBS_000019,CBS_000055,CBS_000056,CBS_000049,"$314,447.35","$46,865.21","$39,000.67","$388,677.78",,,,$0.00,,,,$0.00,,,$0.00,,"$398,229.26","$390,172.99",Labour,$0.00,$0.00,$0.00,"$18,335.37","$17,652.46","$18,188.23","$51,158.41",$0.00,$0.00,$0.00,"$17,634.53","$18,489.94","$17,324.74","$55,163.44","$55,598.19"
ITB_SAN_04,LN_000010,BUNDLE_000002,CBS_000018,CBS_000019,CBS_000055,CBS_000057,CBS_000035,"$14,156.55","$2,099.71","$1,850.34","$17,568.49",,,,$0.00,,,,$0.00,,,$0.00,,"$17,064.52","$17,718.36",Direct,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
