ITB_No,Cost_ID,Vendor Name,Actual/Accruals,Invoice No,Invoice Date,PO No,Currency, Subtotal Amount (Without Tax) ,FX,Amount in CAD,Claim Amount
ITB_SAN_01,COST_000001,VENDOR_000046,Actuals,INV_000001-C01,2025-08-12,PO_000050,CAD,$478.81,1,$478.81,$434.84
ITB_SAN_01,COST_000002,VENDOR_000046,Actuals,INV_000002-C01,2025-08-27,PO_000056,CAD,$171.99,1,$171.99,$0.00
ITB_SAN_01,COST_000003,VENDOR_000046,Actuals,INV_000003-C01,2025-08-12,PO_000049,CAD,$67.49,1,$67.49,$0.00
ITB_SAN_01,COST_000004,VENDOR_000046,Actuals,INV_000004-C01,2025-08-28,PO_000057,CAD,$23.02,1,$23.02,$0.00
ITB_SAN_01,COST_000005,VENDOR_000046,Actuals,INV_000005-C01,2025-08-13,PO_000049,CAD,$153.32,1,$153.32,$0.00
ITB_SAN_01,COST_000006,VENDOR_000046,Actuals,INV_000006-C01,2025-08-18,PO_000051,CAD,$24.01,1,$24.01,$0.00
ITB_SAN_01,COST_000007,VENDOR_000046,Actuals,INV_000007-C01,2025-08-26,PO_000054,CAD,$23.89,1,$23.89,$0.00
ITB_SAN_01,COST_000008,VENDOR_000046,Actuals,INV_000008-C01,2025-07-02,PO_000044,CAD,$145.07,1,$145.07,$0.00
ITB_SAN_01,COST_000009,VENDOR_000046,Actuals,INV_000009-C01,2025-07-02,PO_000044,CAD,$213.02,1,$213.02,$0.00
ITB_SAN_01,COST_000010,VENDOR_000046,Actuals,INV_000010-C01,2025-08-18,PO_000052,CAD,$9.27,1,$9.27,$0.00
ITB_SAN_01,COST_000011,VENDOR_000046,Actuals,INV_000011-C01,2025-08-13,PO_000049,CAD,"$39,901.74",1,"$39,901.74","$25,788.47"
ITB_SAN_01,COST_000012,VENDOR_000046,Actuals,INV_000012-C01,2025-08-11,PO_000048,CAD,"$45,065.93",1,"$45,065.93","$43,657.91"
ITB_SAN_01,COST_000013,VENDOR_000046,Actuals,INV_000013-C01,2025-08-15,PO_000049,CAD,$15.76,1,$15.76,$0.00
ITB_SAN_01,COST_000014,VENDOR_000046,Actuals,INV_000014-C01,2025-08-27,PO_000056,CAD,$14.99,1,$14.99,$0.00
ITB_SAN_01,COST_000015,VENDOR_000046,Actuals,INV_000015-C01,2025-07-02,PO_000044,CAD,$141.77,1,$141.77,$0.00
ITB_SAN_01,COST_000016,VENDOR_000046,Actuals,INV_000016-C01,2025-08-12,PO_000049,CAD,$555.25,1,$555.25,$548.05
ITB_SAN_01,COST_000003,VENDOR_000046,Actuals,INV_000017-C01,2025-08-19,PO_000053,CAD,$298.11,1,$298.11,$210.86
ITB_SAN_01,COST_000017,VENDOR_000046,Actuals,INV_000018-C01,2025-08-13,PO_000049,CAD,$260.35,1,$260.35,$249.93
ITB_SAN_01,COST_000018,VENDOR_000046,Actuals,INV_000019-C01,2025-07-02,PO_000044,CAD,$15.17,1,$15.17,$0.00
ITB_SAN_01,COST_000019,VENDOR_000046,Actuals,INV_000020-C01,2025-08-19,PO_000053,CAD,$40.91,1,$40.91,$0.00
ITB_SAN_01,COST_000003,VENDOR_000046,Actuals,INV_000021-C01,2025-08-27,PO_000055,CAD,$26.42,1,$26.42,$0.00
ITB_SAN_01,COST_000020,VENDOR_000046,Actuals,INV_000022-C01,2025-08-12,PO_000049,CAD,"$1,212.89",1,"$1,212.89","$1,130.74"
ITB_SAN_01,COST_000004,VENDOR_000046,Actuals,INV_000023-C01,2025-08-12,PO_000050,CAD,"$1,627.21",1,"$1,627.21","$1,543.40"
ITB_SAN_01,COST_000005,VENDOR_000046,Actuals,INV_000024-C01,2025-08-12,PO_000049,CAD,"$1,396.04",1,"$1,396.04","$1,324.54"
ITB_SAN_01,COST_000021,VENDOR_000046,Actuals,INV_000025-C01,2025-08-13,PO_000049,CAD,$293.48,1,$293.48,$281.52
ITB_SAN_01,COST_000022,VENDOR_000046,Actuals,INV_000026-C01,2025-08-01,PO_000043,CAD,$272.72,1,$272.72,$190.66
ITB_SAN_01,COST_000023,VENDOR_000046,Actuals,INV_000027-C01,2025-08-19,PO_000053,CAD,$141.09,1,$141.09,$133.75
ITB_SAN_01,COST_000024,VENDOR_000047,Actuals,INV_000028-C01,2025-08-10,PO_000005,CAD,"$208,477.07",1,"$208,477.07",$608.87
ITB_SAN_01,COST_000025,VENDOR_000047,Actuals,INV_000029-C01,2025-07-09,PO_000005,CAD,"$891,484.02",1,"$891,484.02","$880,839.17"
ITB_SAN_01,COST_000026,VENDOR_000047,Actuals,INV_000030-C01,2025-06-26,PO_000005,CAD,"$245,537.57",1,"$245,537.57","$5,875.84"
ITB_SAN_01,COST_000008,VENDOR_000047,Actuals,INV_000031-C01,2025-06-26,PO_000005,CAD,"$220,983.36",1,"$220,983.36",$42.83
ITB_SAN_01,COST_000027,VENDOR_000048,Actuals,INV_000032-C01,2025-08-08,PO_000013,CAD,"$1,478.77",1,"$1,478.77",$210.45
ITB_SAN_01,COST_000028,VENDOR_000048,Actuals,INV_000033-C01,2025-08-08,PO_000008,CAD,"$15,942.29",1,"$15,942.29",$0.00
ITB_SAN_01,COST_000029,VENDOR_000049,Actuals,INV_000034-C01,2025-07-16,PO_000017,CAD,"$4,068.19",1,"$4,068.19",$300.42
ITB_SAN_01,COST_000030,VENDOR_000010,Actuals,INV_000035-C01,11-Sep-25,PO_000065,CAD,"$29,394.10",1,"$29,394.10","$28,935.20"
ITB_SAN_01,COST_000031,VENDOR_000050,Actuals,INV_000036-C01,2025-09-11,PO_000070,CAD,"$1,006.80",1,"$1,006.80",$986.95
ITB_SAN_01,COST_000032,VENDOR_000050,Actuals,INV_000037-C01,2025-07-29,PO_000069,CAD,"$560,387.27",1,"$560,387.27","$3,935.67"
ITB_SAN_01,COST_000009,VENDOR_000051,Actuals,INV_000038-C01,"July, 1st, 2025",PO_000074,CAD,"$218,976.22",1,"$218,976.22",$15.56
ITB_SAN_01,COST_000033,VENDOR_000052,Actuals,INV_000039-C01,2025-04-30,PO_000075,CAD,"$1,797.08",1,"$1,797.08","$1,634.19"
ITB_SAN_01,COST_000034,VENDOR_000052,Actuals,INV_000040-C01,2025-07-31,,,"$8,447.62",1,"$8,447.62","$5,171.35"
ITB_SAN_01,COST_000035,VENDOR_000052,Actuals,INV_000041-C01,2025-07-31,PO_000075,CAD,"$1,034.65",1,"$1,034.65",$0.00
ITB_SAN_01,COST_000036,VENDOR_000053,Actuals,INV_000042-C01,31-Jul-25,PO_000170,CAD,$710.10,1,$710.10,$669.96
