ITB_No,Ln_ITM_ID,Cost_ID,Bundle_ID,CBS_1,CBS_2,CBS_3,CBS_4,CBS_5,CMS_Generated_No,Vendor_Name,Reimbursement_Type,Cost_Type,Activity,Activity_Name,Cost_ID_Description,Cost_Element_Category_Ref,Invoice_number,UploadCheck_RFP_RFQ_GateForm,ValueOf_RFP_RFQ_GateForm,Submitted_ACWP,Submitted_OH,Submitted_Profit,Submitted_ACWP_w_Fee,Certified_Without_Fee,Unauthorized_WO_Fee,Deauthorization_category,Certified Amount,Certified Overhead,Certified Profit,Certified_Amount_W_Fee
ITB_SAN_01,,COST_000068,BUNDLE_000001,CBS_000001,CBS_000002,CBS_000003,CBS_000004,CBS_000005,ONX-EM-ERPC-0000737,,,Direct,ACT_000001,ACTN_000001,DESC_COST_000068,,,,,"4,160.57",586.04,550.48,"4,990.84",,,,,,,
ITB_SAN_01,,COST_000053,BUNDLE_000001,CBS_000001,CBS_000002,CBS_000003,CBS_000004,CBS_000005,ONX-EM-ERPC-0000739,,,Direct,ACT_000001,ACTN_000002,DESC_COST_000053,,OTPI - 06162025,,,-0.01,0.00,0.00,-0.01,,,,,,,
ITB_SAN_01,,COST_000069,BUNDLE_000001,CBS_000001,CBS_000002,CBS_000003,CBS_000004,CBS_000005,ONX-EM-ERPC-0000740,,,Direct,ACT_000001,ACTN_000002,DESC_COST_000069,,1MWQ-G7MD-HL9Q,,,227.00,35.49,30.23,307.94,,,,,,,
ITB_SAN_01,,COST_000070,BUNDLE_000001,CBS_000001,CBS_000002,CBS_000003,CBS_000004,CBS_000005,ONX-EM-ERPC-0000741,,,Direct,ACT_000001,ACTN_000002,DESC_COST_000070,,CA5YGOZE7P2I/ CA5B63APZRKI,,,137.53,21.60,18.04,179.15,,,,,,,
ITB_SAN_01,,COST_000046,BUNDLE_000001,CBS_000001,CBS_000002,CBS_000003,CBS_000004,CBS_000005,ONX-EM-ERPC-0000742,,,Direct,ACT_000001,ACTN_000002,DESC_COST_000046,,CA53BM7M8II,,,9.42,1.39,1.27,12.14,,,,,,,
ITB_SAN_01,,COST_000047,BUNDLE_000001,CBS_000001,CBS_000002,CBS_000003,CBS_000004,CBS_000005,ONX-EM-ERPC-0000743,,,Direct,ACT_000001,ACTN_000002,DESC_COST_000047,,CA57L4JAE6I,,,195.19,29.79,24.93,244.62,,,,,,,
ITB_SAN_01,,COST_000045,BUNDLE_000001,CBS_000001,CBS_000002,CBS_000003,CBS_000004,CBS_000005,ONX-EM-ERPC-0000744,,,Direct,ACT_000001,ACTN_000002,DESC_COST_000045,,CA53NH5SWSZI/ CA51SGLMQT0I,,,36.79,5.46,4.67,47.77,,,,,,,
ITB_SAN_01,,COST_000009,BUNDLE_000001,CBS_000001,CBS_000002,CBS_000003,CBS_000004,CBS_000005,ONX-EM-ERPC-0000745,,,Direct,ACT_000001,ACTN_000002,DESC_COST_000009,,CA5BLVO3UAI,,,15.53,2.29,1.89,18.87,,,,,,,
ITB_SAN_01,,COST_000048,BUNDLE_000001,CBS_000001,CBS_000002,CBS_000003,CBS_000004,CBS_000005,ONX-EM-ERPC-0000746,,,Direct,ACT_000001,ACTN_000002,DESC_COST_000048,,CA5E8XMX86SI,,,529.79,81.34,69.25,684.56,,,,,,,
ITB_SAN_01,,COST_000039,BUNDLE_000001,CBS_000001,CBS_000002,CBS_000003,CBS_000004,CBS_000005,ONX-EM-ERPC-0000747,,,Direct,ACT_000001,ACTN_000003,DESC_COST_000039,,CA52KGGR902I/ CA51LHKIJACCUI,,,54.47,7.61,6.63,67.49,,,,,,,
ITB_SAN_01,,COST_000044,BUNDLE_000001,CBS_000001,CBS_000002,CBS_000003,CBS_000004,CBS_000005,ONX-EM-ERPC-0000751,,,Direct,ACT_000001,ACTN_000002,DESC_COST_000044,,,,,155.36,24.31,21.01,215.12,,,,,,,
ITB_SAN_01,,COST_000006,BUNDLE_000001,CBS_000001,CBS_000002,CBS_000003,CBS_000004,CBS_000005,ONX-EM-ERPC-0000752,,,Direct,ACT_000001,ACTN_000002,DESC_COST_000006,,CA57LLKRCFEI,,,345.72,54.04,48.86,466.03,,,,,,,
ITB_SAN_01,,COST_000043,BUNDLE_000001,CBS_000001,CBS_000002,CBS_000003,CBS_000004,CBS_000005,ONX-EM-ERPC-0000753,,,Direct,ACT_000001,ACTN_000004,DESC_COST_000043,,CA5BMPBUYYI,,,371.74,54.98,51.82,495.09,,,,,,,
ITB_SAN_01,,COST_000029,BUNDLE_000001,CBS_000001,CBS_000002,CBS_000003,CBS_000004,CBS_000005,ONX-EM-ERPC-0000754,,,Direct,ACT_000001,ACTN_000002,DESC_COST_000029,,ONETB210788A,,,318.97,46.12,40.25,416.60,,,,,,,
ITB_SAN_01,,COST_000037,BUNDLE_000001,CBS_000001,CBS_000002,CBS_000003,CBS_000004,CBS_000005,ONX-EM-ERPC-0000755,,,Direct,ACT_000001,ACTN_000002,DESC_COST_000037,,CA5H4IVJTUI/ CA52IQ3NXQMI,,,40.80,6.17,5.11,51.76,,,,,,,
ITB_SAN_01,,COST_000038,BUNDLE_000001,CBS_000001,CBS_000002,CBS_000003,CBS_000004,CBS_000005,ONX-EM-ERPC-0000756,,,Direct,ACT_000001,ACTN_000002,DESC_COST_000038,,CA522NV5URII,,,42.00,6.39,5.49,49.96,,,,,,,
ITB_SAN_01,,COST_000002,BUNDLE_000001,CBS_000001,CBS_000002,CBS_000003,CBS_000004,CBS_000005,ONX-EM-ERPC-0000757,,,Direct,ACT_000001,ACTN_000005,DESC_COST_000002,,CA522MV5URII,,,"1,361.56",210.53,193.75,"1,798.74",,,,,,,
ITB_SAN_01,,COST_000035,BUNDLE_000001,CBS_000001,CBS_000002,CBS_000003,CBS_000004,CBS_000005,ONX-EM-ERPC-0000762,,,Direct,ACT_000001,ACTN_000002,DESC_COST_000035,,7111376-00,,,43.93,6.92,5.86,58.50,,,,,,,
