ITB_No,Ln_ITM_ID,Bundle_ID,CBS_1,CBS_2,CBS_3,CBS_4,CBS_5, Budget_at_Completion ,Overhead,Profit ,Budget_plus_Fee,Submitted_ActualCosts_LTD_without_fees,Submitted_ActualCosts_LTD_Overhead,Submitted_ActualCosts_LTD_Fee,Submitted_ActualCosts_LTD_with_fees,Certified_ActualCosts_LTD_without_fees,Certified_ActualCosts_LTD_Overhead,Certified_ActualCosts_LTD_Fee,Certified_ActualCosts_LTD_with_fees,Variance_LTD,Variance_Current_Submission,Total Variance,Variance_at_Completion,Estimate_at_Completion,Estimate_to_Complete,Cost_Type,Submitted_ Actual_Cost,Submitted_ Accrual_Cost,Submitted_Cost_Total (Actual),Submitted_1_FC,Submitted_2_FC,Submitted_3_FC,Submitted_FC_Total,Certified_Actual_Cost,Certified_Accrual_Cost,Certified_Cost_Total,Certified_1_FC,Certified_2_FC,Certified_3_FC,Certified_FC_Total,LTD_Certified_ with_Current_AFP
ITB_SAN_01,LN_000001,BUNDLE_000002,CBS_000018,CBS_000047,CBS_000042,CBS_000048,CBS_000049,"$176,696.71","$26,594.04","$23,501.35","$227,969.33",,,,$0.00,,,,$0.00,,,$0.00,,"$232,404.49","$228,808.00",Labour,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
ITB_SAN_01,LN_000002,BUNDLE_000002,CBS_000018,CBS_000047,CBS_000020,CBS_000050,CBS_000051,"$682,898.17","$104,870.92","$91,585.86","$867,278.29",,,,$0.00,,,,$0.00,,,$0.00,,"$858,784.62","$837,793.70",Labour,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
ITB_SAN_01,LN_000003,BUNDLE_000002,CBS_000018,CBS_000047,CBS_000020,CBS_000052,CBS_000035,"$1,538,151.36","$232,156.63","$200,772.77","$1,905,271.93",,,,$0.00,,,,$0.00,,,$0.00,,"$1,918,803.94","$2,012,852.11",Direct,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
ITB_SAN_01,LN_000004,BUNDLE_000002,CBS_000018,CBS_000053,CBS_000020,CBS_000054,CBS_000051,"$633,037.19","$90,931.59","$80,744.89","$756,437.74",,,,$0.00,,,,$0.00,,,$0.00,,"$755,990.30","$760,847.64",Labour,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
ITB_SAN_01,LN_000005,BUNDLE_000002,CBS_000018,CBS_000019,CBS_000055,CBS_000027,CBS_000035,$0.00,$0.00,$0.00,$0.00,,,,$0.00,,,,$0.00,,,$0.00,,$0.00,$0.00,Direct,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
ITB_SAN_01,LN_000006,BUNDLE_000002,CBS_000018,CBS_000019,CBS_000055,CBS_000027,CBS_000005,$0.00,$0.00,$0.00,$0.00,,,,"$128,339.04",,,,"$30,900.89",,,$0.00,,$0.00,"($37,977.21)",Direct,$0.00,"$98,703.33","$97,619.26","$75,982.42",$0.00,"$149,961.35","$233,293.09",$0.00,"$98,700.96","$99,213.38","$36,934.80",$0.00,$0.00,"$35,642.19","$165,421.07"
ITB_SAN_01,LN_000007,BUNDLE_000002,CBS_000018,CBS_000019,CBS_000055,CBS_000027,CBS_000049,"$1,153,867.13","$171,967.12","$161,948.83","$1,500,383.35",,,,"$744,051.78",,,,"$558,482.35",,,$0.00,,"$1,545,941.24","$986,124.62",Labour,$0.00,$0.00,$0.00,"$106,309.46","$110,643.17","$104,725.11","$342,018.52",$0.00,$0.00,$0.00,"$105,162.09","$112,055.81","$104,479.46","$337,716.13","$872,902.63"
ITB_SAN_01,LN_000008,BUNDLE_000002,CBS_000018,CBS_000019,CBS_000055,CBS_000046,CBS_000049,"$88,712.63","$13,153.78","$11,390.58","$120,692.51",,,,$0.00,,,,$0.00,,,$0.00,,"$113,899.07","$115,615.61",Labour,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
ITB_SAN_01,LN_000009,BUNDLE_000002,CBS_000018,CBS_000019,CBS_000055,CBS_000056,CBS_000049,"$266,968.14","$40,263.37","$33,914.71","$321,945.52",,,,$0.00,,,,$0.00,,,$0.00,,"$342,056.51","$325,121.28",Labour,$0.00,$0.00,$0.00,"$15,418.98","$14,501.66","$15,281.38","$44,261.93",$0.00,$0.00,$0.00,"$15,086.53","$15,446.53","$14,841.71","$44,409.79","$45,987.79"
ITB_SAN_01,LN_000010,BUNDLE_000002,CBS_000018,CBS_000019,CBS_000055,CBS_000057,CBS_000035,"$11,825.26","$1,681.08","$1,479.25","$15,184.77",,,,$0.00,,,,$0.00,,,$0.00,,"$15,555.17","$14,358.16",Direct,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
