ITB_No,Cost_ID,Vendor Name,Actual/Accruals,Invoice No,Invoice Date,PO No,Currency, Subtotal Amount (Without Tax) ,FX,Amount in CAD,Claim Amount
ITB_SAN_03,COST_000001,VENDOR_000046,Actuals,INV_000001-C03,2025-08-12,PO_000050,CAD,$520.23,1,$520.23,$384.16
ITB_SAN_03,COST_000002,VENDOR_000046,Actuals,INV_000002-C03,2025-08-27,PO_000056,CAD,$180.81,1,$180.81,$0.00
ITB_SAN_03,COST_000003,VENDOR_000046,Actuals,INV_000003-C03,2025-08-12,PO_000049,CAD,$74.41,1,$74.41,$0.00
ITB_SAN_03,COST_000004,VENDOR_000046,Actuals,INV_000004-C03,2025-08-28,PO_000057,CAD,$23.74,1,$23.74,$0.00
ITB_SAN_03,COST_000005,VENDOR_000046,Actuals,INV_000005-C03,2025-08-13,PO_000049,CAD,$183.40,1,$183.40,$0.00
ITB_SAN_03,COST_000006,VENDOR_000046,Actuals,INV_000006-C03,2025-08-18,PO_000051,CAD,$25.53,1,$25.53,$0.00
ITB_SAN_03,COST_000007,VENDOR_000046,Actuals,INV_000007-C03,2025-08-26,PO_000054,CAD,$24.89,1,$24.89,$0.00
ITB_SAN_03,COST_000008,VENDOR_000046,Actuals,INV_000008-C03,2025-07-02,PO_000044,CAD,$167.30,1,$167.30,$0.00
ITB_SAN_03,COST_000009,VENDOR_000046,Actuals,INV_000009-C03,2025-07-02,PO_000044,CAD,$233.96,1,$233.96,$0.00
ITB_SAN_03,COST_000010,VENDOR_000046,Actuals,INV_000010-C03,2025-08-18,PO_000052,CAD,$9.60,1,$9.60,$0.00
ITB_SAN_03,COST_000011,VENDOR_000046,Actuals,INV_000011-C03,2025-08-13,PO_000049,CAD,"$44,572.01",1,"$44,572.01","$41,607.07"
ITB_SAN_03,COST_000012,VENDOR_000046,Actuals,INV_000012-C03,2025-08-11,PO_000048,CAD,"$46,029.49",1,"$46,029.49","$35,632.93"
ITB_SAN_03,COST_000013,VENDOR_000046,Actuals,INV_000013-C03,2025-08-15,PO_000049,CAD,$19.21,1,$19.21,$0.00
ITB_SAN_03,COST_000014,VENDOR_000046,Actuals,INV_000014-C03,2025-08-27,PO_000056,CAD,$16.32,1,$16.32,$0.00
ITB_SAN_03,COST_000015,VENDOR_000046,Actuals,INV_000015-C03,2025-07-02,PO_000044,CAD,$156.56,1,$156.56,$0.00
ITB_SAN_03,COST_000016,VENDOR_000046,Actuals,INV_000016-C03,2025-08-12,PO_000049,CAD,$646.21,1,$646.21,$593.76
ITB_SAN_03,COST_000003,VENDOR_000046,Actuals,INV_000017-C03,2025-08-19,PO_000053,CAD,$332.18,1,$332.18,$326.28
ITB_SAN_03,COST_000017,VENDOR_000046,Actuals,INV_000018-C03,2025-08-13,PO_000049,CAD,$278.81,1,$278.81,$238.12
ITB_SAN_03,COST_000018,VENDOR_000046,Actuals,INV_000019-C03,2025-07-02,PO_000044,CAD,$18.16,1,$18.16,$0.00
ITB_SAN_03,COST_000019,VENDOR_000046,Actuals,INV_000020-C03,2025-08-19,PO_000053,CAD,$44.38,1,$44.38,$0.00
ITB_SAN_03,COST_000003,VENDOR_000046,Actuals,INV_000021-C03,2025-08-27,PO_000055,CAD,$27.98,1,$27.98,$0.00
