ITB_No,Ln_ITM_ID,Bundle_ID,CBS_1,CBS_2,CBS_3,CBS_4,CBS_5, Budget_at_Completion ,Overhead,Profit ,Budget_plus_Fee,Submitted_ActualCosts_LTD_without_fees,Submitted_ActualCosts_LTD_Overhead,Submitted_ActualCosts_LTD_Fee,Submitted_ActualCosts_LTD_with_fees,Certified_ActualCosts_LTD_without_fees,Certified_ActualCosts_LTD_Overhead,Certified_ActualCosts_LTD_Fee,Certified_ActualCosts_LTD_with_fees,Variance_LTD,Variance_Current_Submission,Total Variance,Variance_at_Completion,Estimate_at_Completion,Estimate_to_Complete,Cost_Type,Submitted_ Actual_Cost,Submitted_ Accrual_Cost,Submitted_Cost_Total (Actual),Submitted_1_FC,Submitted_2_FC,Submitted_3_FC,Submitted_FC_Total,Certified_Actual_Cost,Certified_Accrual_Cost,Certified_Cost_Total,Certified_1_FC,Certified_2_FC,Certified_3_FC,Certified_FC_Total,LTD_Certified_ with_Current_AFP
ITB_SAN_03,LN_000001,BUNDLE_000002,CBS_000018,CBS_000047,CBS_000042,CBS_000048,CBS_000049,"$205,669.07","$29,911.00","$26,105.51","$262,793.76",,,,$0.00,,,,$0.00,,,$0.00,,"$252,722.43","$259,893.09",Labour,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
ITB_SAN_03,LN_000002,BUNDLE_000002,CBS_000018,CBS_000047,CBS_000020,CBS_000050,CBS_000051,"$723,390.15","$119,047.12","$93,907.31","$931,810.13",,,,$0.00,,,,$0.00,,,$0.00,,"$965,765.48","$973,821.14",Labour,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
ITB_SAN_03,LN_000003,BUNDLE_000002,CBS_000018,CBS_000047,CBS_000020,CBS_000052,CBS_000035,"$1,642,577.52","$262,104.10","$215,872.15","$2,244,708.10",,,,$0.00,,,,$0.00,,,$0.00,,"$2,129,649.89","$2,136,605.23",Direct,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
ITB_SAN_03,LN_000004,BUNDLE_000002,CBS_000018,CBS_000053,CBS_000020,CBS_000054,CBS_000051,"$650,724.11","$98,258.71","$87,321.21","$863,668.75",,,,$0.00,,,,$0.00,,,$0.00,,"$842,812.74","$841,537.76",Labour,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
ITB_SAN_03,LN_000005,BUNDLE_000002,CBS_000018,CBS_000019,CBS_000055,CBS_000027,CBS_000035,$0.00,$0.00,$0.00,$0.00,,,,$0.00,,,,$0.00,,,$0.00,,$0.00,$0.00,Direct,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
ITB_SAN_03,LN_000006,BUNDLE_000002,CBS_000018,CBS_000019,CBS_000055,CBS_000027,CBS_000005,$0.00,$0.00,$0.00,$0.00,,,,"$150,773.29",,,,"$37,168.37",,,$0.00,,$0.00,"($37,977.21)",Direct,$0.00,"$104,856.43","$110,108.03","$87,418.54",$0.00,"$166,864.02","$258,709.18",$0.00,"$110,579.15","$106,901.38","$39,295.48",$0.00,$0.00,"$42,085.79","$190,126.82"
ITB_SAN_03,LN_000007,BUNDLE_000002,CBS_000018,CBS_000019,CBS_000055,CBS_000027,CBS_000049,"$1,378,997.16","$196,544.50","$173,163.39","$1,674,810.40",,,,"$852,203.94",,,,"$623,706.50",,,$0.00,,"$1,721,900.23","$1,054,722.17",Labour,$0.00,$0.00,$0.00,"$124,535.88","$126,532.91","$118,405.65","$383,762.69",$0.00,$0.00,$0.00,"$123,179.61","$120,226.16","$126,356.89","$383,339.06","$970,298.28"
ITB_SAN_03,LN_000008,BUNDLE_000002,CBS_000018,CBS_000019,CBS_000055,CBS_000046,CBS_000049,"$106,176.46","$16,108.99","$13,885.46","$126,880.68",,,,$0.00,,,,$0.00,,,$0.00,,"$131,648.12","$134,171.98",Labour,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
ITB_SAN_03,LN_000009,BUNDLE_000002,CBS_000018,CBS_000019,CBS_000055,CBS_000056,CBS_000049,"$301,132.90","$44,100.22","$39,881.38","$366,802.99",,,,$0.00,,,,$0.00,,,$0.00,,"$372,443.95","$360,743.35",Labour,$0.00,$0.00,$0.00,"$16,084.35","$16,410.21","$17,432.93","$48,439.37",$0.00,$0.00,$0.00,"$16,784.44","$17,161.54","$16,428.58","$51,659.03","$51,800.25"
ITB_SAN_03,LN_000010,BUNDLE_000002,CBS_000018,CBS_000019,CBS_000055,CBS_000057,CBS_000035,"$12,773.88","$1,996.21","$1,767.97","$16,696.56",,,,$0.00,,,,$0.00,,,$0.00,,"$17,186.94","$16,242.92",Direct,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
