ITB_No,Ln_ITM_ID,Cost_ID,Bundle_ID,CBS_1,CBS_2,CBS_3,CBS_4,CBS_5,CMS_Generated_No,Vendor_Name,Reimbursement_Type,Cost_Type,Activity,Activity_Name,Cost_ID_Description,Cost_Element_Category_Ref,Invoice_number,UploadCheck_RFP_RFQ_GateForm,ValueOf_RFP_RFQ_GateForm,Submitted_ACWP,Submitted_OH,Submitted_Profit,Submitted_ACWP_w_Fee,Certified_Without_Fee,Unauthorized_WO_Fee,Deauthorization_category,Certified Amount,Certified Overhead,Certified Profit,Certified_Amount_W_Fee
ITB_SAN_02,,COST_000068,BUNDLE_000001,CBS_000001,CBS_000002,CBS_000003,CBS_000004,CBS_000005,ONX-EM-ERPC-0000737,,,Direct,ACT_000001,ACTN_000001,DESC_COST_000068,,,,,"4,299.19",653.27,540.64,"5,439.31",,,,,,,
ITB_SAN_02,,COST_000053,BUNDLE_000001,CBS_000001,CBS_000002,CBS_000003,CBS_000004,CBS_000005,ONX-EM-ERPC-0000739,,,Direct,ACT_000001,ACTN_000002,DESC_COST_000053,,OTPI - 06162025,,,-0.01,0.00,0.00,-0.01,,,,,,,
ITB_SAN_02,,COST_000069,BUNDLE_000001,CBS_000001,CBS_000002,CBS_000003,CBS_000004,CBS_000005,ONX-EM-ERPC-0000740,,,Direct,ACT_000001,ACTN_000002,DESC_COST_000069,,1MWQ-G7MD-HL9Q,,,234.18,36.83,32.11,302.73,,,,,,,
ITB_SAN_02,,COST_000070,BUNDLE_000001,CBS_000001,CBS_000002,CBS_000003,CBS_000004,CBS_000005,ONX-EM-ERPC-0000741,,,Direct,ACT_000001,ACTN_000002,DESC_COST_000070,,CA5YGOZE7P2I/ CA5B63APZRKI,,,152.70,22.93,20.09,191.86,,,,,,,
ITB_SAN_02,,COST_000046,BUNDLE_000001,CBS_000001,CBS_000002,CBS_000003,CBS_000004,CBS_000005,ONX-EM-ERPC-0000742,,,Direct,ACT_000001,ACTN_000002,DESC_COST_000046,,CA53BM7M8II,,,9.90,1.50,1.26,12.09,,,,,,,
ITB_SAN_02,,COST_000047,BUNDLE_000001,CBS_000001,CBS_000002,CBS_000003,CBS_000004,CBS_000005,ONX-EM-ERPC-0000743,,,Direct,ACT_000001,ACTN_000002,DESC_COST_000047,,CA57L4JAE6I,,,214.98,32.27,26.53,264.45,,,,,,,
ITB_SAN_02,,COST_000045,BUNDLE_000001,CBS_000001,CBS_000002,CBS_000003,CBS_000004,CBS_000005,ONX-EM-ERPC-0000744,,,Direct,ACT_000001,ACTN_000002,DESC_COST_000045,,CA53NH5SWSZI/ CA51SGLMQT0I,,,36.11,5.85,5.16,50.49,,,,,,,
ITB_SAN_02,,COST_000009,BUNDLE_000001,CBS_000001,CBS_000002,CBS_000003,CBS_000004,CBS_000005,ONX-EM-ERPC-0000745,,,Direct,ACT_000001,ACTN_000002,DESC_COST_000009,,CA5BLVO3UAI,,,15.10,2.49,2.00,20.71,,,,,,,
ITB_SAN_02,,COST_000048,BUNDLE_000001,CBS_000001,CBS_000002,CBS_000003,CBS_000004,CBS_000005,ONX-EM-ERPC-0000746,,,Direct,ACT_000001,ACTN_000002,DESC_COST_000048,,CA5E8XMX86SI,,,593.47,82.88,75.56,749.73,,,,,,,
ITB_SAN_02,,COST_000039,BUNDLE_000001,CBS_000001,CBS_000002,CBS_000003,CBS_000004,CBS_000005,ONX-EM-ERPC-0000747,,,Direct,ACT_000001,ACTN_000003,DESC_COST_000039,,CA52KGGR902I/ CA51LHKIJACCUI,,,57.16,8.66,7.45,71.30,,,,,,,
