ITB_No,Cost_ID,Vendor Name,Actual/Accruals,Invoice No,Invoice Date,PO No,Currency, Subtotal Amount (Without Tax) ,FX,Amount in CAD,Claim Amount
ITB_SAN_02,COST_000001,VENDOR_000046,Actuals,INV_000001-C02,2025-08-12,PO_000050,CAD,$489.18,1,$489.18,$346.77
ITB_SAN_02,COST_000002,VENDOR_000046,Actuals,INV_000002-C02,2025-08-27,PO_000056,CAD,$182.68,1,$182.68,$0.00
ITB_SAN_02,COST_000003,VENDOR_000046,Actuals,INV_000003-C02,2025-08-12,PO_000049,CAD,$70.83,1,$70.83,$0.00
ITB_SAN_02,COST_000004,VENDOR_000046,Actuals,INV_000004-C02,2025-08-28,PO_000057,CAD,$23.25,1,$23.25,$0.00
ITB_SAN_02,COST_000005,VENDOR_000046,Actuals,INV_000005-C02,2025-08-13,PO_000049,CAD,$161.01,1,$161.01,$0.00
ITB_SAN_02,COST_000006,VENDOR_000046,Actuals,INV_000006-C02,2025-08-18,PO_000051,CAD,$24.39,1,$24.39,$0.00
ITB_SAN_02,COST_000007,VENDOR_000046,Actuals,INV_000007-C02,2025-08-26,PO_000054,CAD,$23.42,1,$23.42,$0.00
ITB_SAN_02,COST_000008,VENDOR_000046,Actuals,INV_000008-C02,2025-07-02,PO_000044,CAD,$160.93,1,$160.93,$0.00
ITB_SAN_02,COST_000009,VENDOR_000046,Actuals,INV_000009-C02,2025-07-02,PO_000044,CAD,$224.00,1,$224.00,$0.00
ITB_SAN_02,COST_000010,VENDOR_000046,Actuals,INV_000010-C02,2025-08-18,PO_000052,CAD,$9.30,1,$9.30,$0.00
ITB_SAN_02,COST_000011,VENDOR_000046,Actuals,INV_000011-C02,2025-08-13,PO_000049,CAD,"$43,125.78",1,"$43,125.78","$39,071.06"
ITB_SAN_02,COST_000012,VENDOR_000046,Actuals,INV_000012-C02,2025-08-11,PO_000048,CAD,"$47,128.59",1,"$47,128.59","$43,846.95"
ITB_SAN_02,COST_000013,VENDOR_000046,Actuals,INV_000013-C02,2025-08-15,PO_000049,CAD,$17.57,1,$17.57,$0.00
ITB_SAN_02,COST_000014,VENDOR_000046,Actuals,INV_000014-C02,2025-08-27,PO_000056,CAD,$15.70,1,$15.70,$0.00
ITB_SAN_02,COST_000015,VENDOR_000046,Actuals,INV_000015-C02,2025-07-02,PO_000044,CAD,$138.11,1,$138.11,$0.00
ITB_SAN_02,COST_000016,VENDOR_000046,Actuals,INV_000016-C02,2025-08-12,PO_000049,CAD,$563.88,1,$563.88,$561.96
ITB_SAN_02,COST_000003,VENDOR_000046,Actuals,INV_000017-C02,2025-08-19,PO_000053,CAD,$309.79,1,$309.79,$297.95
ITB_SAN_02,COST_000017,VENDOR_000046,Actuals,INV_000018-C02,2025-08-13,PO_000049,CAD,$264.22,1,$264.22,$209.81
ITB_SAN_02,COST_000018,VENDOR_000046,Actuals,INV_000019-C02,2025-07-02,PO_000044,CAD,$16.82,1,$16.82,$0.00
ITB_SAN_02,COST_000019,VENDOR_000046,Actuals,INV_000020-C02,2025-08-19,PO_000053,CAD,$42.26,1,$42.26,$0.00
ITB_SAN_02,COST_000003,VENDOR_000046,Actuals,INV_000021-C02,2025-08-27,PO_000055,CAD,$25.81,1,$25.81,$0.00
ITB_SAN_02,COST_000020,VENDOR_000046,Actuals,INV_000022-C02,2025-08-12,PO_000049,CAD,"$1,207.90",1,"$1,207.90","$1,048.21"
ITB_SAN_02,COST_000004,VENDOR_000046,Actuals,INV_000023-C02,2025-08-12,PO_000050,CAD,"$1,728.49",1,"$1,728.49","$1,710.93"
ITB_SAN_02,COST_000005,VENDOR_000046,Actuals,INV_000024-C02,2025-08-12,PO_000049,CAD,"$1,437.47",1,"$1,437.47","$1,199.73"
ITB_SAN_02,COST_000021,VENDOR_000046,Actuals,INV_000025-C02,2025-08-13,PO_000049,CAD,$325.05,1,$325.05,$298.13
ITB_SAN_02,COST_000022,VENDOR_000046,Actuals,INV_000026-C02,2025-08-01,PO_000043,CAD,$283.11,1,$283.11,$193.08
ITB_SAN_02,COST_000023,VENDOR_000046,Actuals,INV_000027-C02,2025-08-19,PO_000053,CAD,$145.58,1,$145.58,$144.35
ITB_SAN_02,COST_000024,VENDOR_000047,Actuals,INV_000028-C02,2025-08-10,PO_000005,CAD,"$220,471.86",1,"$220,471.86",$685.27
ITB_SAN_02,COST_000025,VENDOR_000047,Actuals,INV_000029-C02,2025-07-09,PO_000005,CAD,"$983,902.88",1,"$983,902.88","$616,883.58"
ITB_SAN_02,COST_000026,VENDOR_000047,Actuals,INV_000030-C02,2025-06-26,PO_000005,CAD,"$255,941.76",1,"$255,941.76","$6,183.60"
ITB_SAN_02,COST_000008,VENDOR_000047,Actuals,INV_000031-C02,2025-06-26,PO_000005,CAD,"$234,384.08",1,"$234,384.08",$46.00
ITB_SAN_02,COST_000027,VENDOR_000048,Actuals,INV_000032-C02,2025-08-08,PO_000013,CAD,"$1,581.83",1,"$1,581.83",$216.56
ITB_SAN_02,COST_000028,VENDOR_000048,Actuals,INV_000033-C02,2025-08-08,PO_000008,CAD,"$16,284.42",1,"$16,284.42",$0.00
ITB_SAN_02,COST_000029,VENDOR_000049,Actuals,INV_000034-C02,2025-07-16,PO_000017,CAD,"$4,584.62",1,"$4,584.62",$342.40
ITB_SAN_02,COST_000030,VENDOR_000010,Actuals,INV_000035-C02,11-Sep-25,PO_000065,CAD,"$30,607.50",1,"$30,607.50","$19,148.14"
ITB_SAN_02,COST_000031,VENDOR_000050,Actuals,INV_000036-C02,2025-09-11,PO_000070,CAD,"$1,140.64",1,"$1,140.64","$1,081.63"
